Contract Name	Last Trade Date (EST)	Strike	Last Price	Bid	Ask	Change	% Change	Volume	Open Interest	Implied Volatility
SPY251117C00570000	11/14/2025 9:34 AM	570	93.78	101.28	103.70	-8.54	-8.35%	19	3	94.63%
SPY251117C00575000	11/10/2025 10:54 AM	575	102.28	96.29	98.70	0.00	0.00%	2	3	90.48%
SPY251117C00580000	11/7/2025 9:39 AM	580	85.62	91.29	93.70	0.00	0.00%	1	1	86.23%
SPY251117C00590000	11/7/2025 9:40 AM	590	75.65	81.30	83.71	0.00	0.00%	1	1	77.98%
SPY251117C00600000	11/14/2025 3:49 PM	600	71.32	71.30	73.71	-5.03	-6.59%	246	7	69.48%
SPY251117C00615000	11/14/2025 1:40 PM	615	58.22	56.31	58.72	-1.60	-2.67%	9	10	56.93%
SPY251117C00625000	11/14/2025 12:16 PM	625	50.31	46.36	48.73	-0.28	-0.55%	34	30	62.96%
SPY251117C00630000	11/14/2025 12:50 PM	630	44.28	41.31	43.74	-1.25	-2.75%	39	28	57.90%
SPY251117C00635000	11/14/2025 11:10 AM	635	37.00	36.33	38.75	-0.24	-0.64%	5	4	52.76%
SPY251117C00636000	11/14/2025 10:25 AM	636	32.39	35.33	37.75	4.27	15.18%	10	1	51.71%
SPY251117C00638000	11/14/2025 10:19 AM	638	30.72	33.38	35.76	3.52	12.94%	4	10	49.68%
SPY251117C00640000	11/14/2025 10:33 AM	640	29.92	31.34	33.77	-3.51	-10.50%	8	34	47.63%
SPY251117C00641000	11/13/2025 2:02 PM	641	31.74	30.39	32.77	0.00	0.00%	9	14	46.56%
SPY251117C00644000	11/14/2025 11:14 AM	644	28.39	27.36	29.78	-0.40	-1.39%	6	1	43.38%
SPY251117C00645000	11/14/2025 1:07 PM	645	28.15	26.37	28.79	-3.23	-10.29%	17	5	42.37%
SPY251117C00649000	11/14/2025 9:37 AM	649	17.94	23.60	23.88	-8.14	-31.21%	11	2	30.84%
SPY251117C00650000	11/14/2025 4:10 PM	650	22.55	22.66	22.89	-1.11	-4.69%	327	32	29.93%
SPY251117C00654000	11/14/2025 1:30 PM	654	19.65	18.71	18.94	-5.96	-23.27%	31	2	26.27%
SPY251117C00655000	11/14/2025 11:42 AM	655	19.46	17.75	17.96	0.56	2.96%	55	45	25.39%
SPY251117C00656000	11/14/2025 11:14 AM	656	16.69	16.77	16.99	-7.15	-29.99%	58	2	24.56%
SPY251117C00657000	11/14/2025 3:37 PM	657	15.83	15.80	16.02	-0.77	-4.64%	24	33	23.71%
SPY251117C00658000	11/14/2025 3:59 PM	658	13.99	14.84	15.06	-0.50	-3.45%	252	70	22.90%
SPY251117C00659000	11/14/2025 2:57 PM	659	16.00	13.87	14.11	0.80	5.26%	56	43	22.12%
SPY251117C00660000	11/14/2025 4:05 PM	660	12.23	12.93	13.14	-0.76	-5.85%	513	203	21.19%
SPY251117C00661000	11/14/2025 4:01 PM	661	11.24	11.99	12.18	-0.59	-4.99%	284	310	20.29%
SPY251117C00662000	11/14/2025 4:06 PM	662	10.50	11.08	11.26	-1.78	-14.50%	446	165	19.58%
SPY251117C00663000	11/14/2025 4:08 PM	663	9.91	10.20	10.37	-0.64	-6.07%	975	228	18.99%
SPY251117C00664000	11/14/2025 4:08 PM	664	9.07	9.32	9.43	-2.03	-18.29%	2,185	487	18.07%
SPY251117C00665000	11/14/2025 4:14 PM	665	8.47	8.46	8.57	-1.53	-15.30%	5,417	428	17.51%
SPY251117C00666000	11/14/2025 4:13 PM	666	7.65	7.62	7.72	-0.52	-6.36%	10,965	252	16.90%
SPY251117C00667000	11/14/2025 4:05 PM	667	6.23	6.81	6.94	-1.97	-24.02%	11,996	247	16.52%
SPY251117C00668000	11/14/2025 4:14 PM	668	6.12	6.02	6.14	-0.87	-12.45%	17,385	510	15.93%
SPY251117C00669000	11/14/2025 4:14 PM	669	5.34	5.27	5.37	-1.57	-22.72%	15,331	371	15.35%
SPY251117C00670000	11/14/2025 4:14 PM	670	4.61	4.56	4.64	-1.63	-26.12%	31,956	1,456	14.81%
SPY251117C00671000	11/14/2025 4:14 PM	671	3.92	3.88	3.94	-1.77	-31.11%	16,893	1,391	14.22%
SPY251117C00672000	11/14/2025 4:14 PM	672	3.29	3.26	3.31	-1.76	-34.85%	45,710	1,849	13.76%
SPY251117C00673000	11/14/2025 4:14 PM	673	2.72	2.70	2.73	-1.69	-38.32%	56,594	3,285	13.31%
SPY251117C00674000	11/14/2025 4:14 PM	674	2.19	2.17	2.20	-1.64	-42.82%	69,294	2,102	12.84%
SPY251117C00675000	11/14/2025 4:14 PM	675	1.74	1.73	1.75	-1.56	-47.27%	95,833	3,981	12.49%
SPY251117C00676000	11/14/2025 4:14 PM	676	1.36	1.33	1.36	-1.44	-51.43%	37,105	1,855	12.15%
SPY251117C00677000	11/14/2025 4:14 PM	677	1.02	1.01	1.03	-1.34	-56.78%	31,675	2,399	11.82%
SPY251117C00678000	11/14/2025 4:14 PM	678	0.76	0.74	0.77	-1.19	-61.03%	37,085	2,880	11.58%
SPY251117C00679000	11/14/2025 4:14 PM	679	0.55	0.53	0.55	-1.06	-65.84%	26,955	5,565	11.28%
SPY251117C00680000	11/14/2025 4:14 PM	680	0.38	0.36	0.38	-0.92	-70.77%	54,175	9,167	11.00%
SPY251117C00681000	11/14/2025 4:14 PM	681	0.25	0.25	0.26	-0.79	-75.96%	19,155	2,983	10.80%
SPY251117C00682000	11/14/2025 4:14 PM	682	0.17	0.16	0.17	-0.64	-79.01%	38,838	3,254	10.60%
SPY251117C00683000	11/14/2025 4:14 PM	683	0.11	0.09	0.11	-0.53	-82.81%	37,454	4,414	10.45%
SPY251117C00684000	11/14/2025 4:14 PM	684	0.07	0.06	0.07	-0.42	-85.71%	15,145	4,192	10.35%
SPY251117C00685000	11/14/2025 4:14 PM	685	0.04	0.04	0.05	-0.33	-89.19%	24,456	9,654	10.45%
SPY251117C00686000	11/14/2025 4:13 PM	686	0.03	0.02	0.03	-0.25	-89.29%	6,238	3,407	10.35%
SPY251117C00687000	11/14/2025 4:13 PM	687	0.03	0.02	0.03	-0.17	-85.00%	6,401	2,661	10.94%
SPY251117C00688000	11/14/2025 4:13 PM	688	0.02	0.01	0.02	-0.12	-85.71%	5,491	2,481	10.94%
