Contract Name	Last Trade Date (EDT)	Strike	Last Price	Bid	Ask	Change	% Change	Volume	Open Interest	Implied Volatility
SPY250818C00500000	8/7/2025 12:01 PM	500	132.27	141.51	144.88	0.00	0.00%	-	15	197.95%
SPY250818C00550000	8/14/2025 12:39 PM	550	93.57	91.52	94.89	0.00	0.00%	1	3	134.40%
SPY250818C00585000	8/15/2025 11:52 AM	585	58.81	56.63	59.90	0.30	0.51%	222	2	90.84%
SPY250818C00590000	8/12/2025 2:10 PM	590	52.73	51.54	54.91	0.00	0.00%	3	5	84.69%
SPY250818C00595000	8/15/2025 12:36 PM	595	48.78	46.79	49.79	-0.75	-1.51%	3	8	76.71%
SPY250818C00600000	8/15/2025 3:59 PM	600	43.51	42.05	44.91	-1.21	-2.71%	28	24	71.97%
SPY250818C00605000	8/14/2025 2:08 PM	605	38.53	36.82	39.82	-1.41	-3.53%	5	29	64.43%
SPY250818C00608000	8/15/2025 3:59 PM	608	35.52	33.76	36.76	-2.33	-6.16%	8	12	59.86%
SPY250818C00609000	8/15/2025 10:02 AM	609	35.03	32.76	35.76	6.40	22.35%	1	7	58.57%
SPY250818C00610000	8/15/2025 4:08 PM	610	32.98	31.76	34.76	-1.98	-5.66%	3	21	57.28%
SPY250818C00613000	8/15/2025 10:28 AM	613	31.40	28.89	31.89	-1.22	-3.74%	1	6	54.86%
SPY250818C00614000	8/15/2025 11:31 AM	614	30.04	27.83	30.83	-0.10	-0.33%	8	45	52.88%
SPY250818C00615000	8/15/2025 4:01 PM	615	28.32	26.77	29.77	-1.58	-5.28%	7	89	50.90%
SPY250818C00617000	8/11/2025 2:29 PM	617	20.49	24.77	27.77	0.00	0.00%	8	6	48.27%
SPY250818C00618000	8/15/2025 3:26 PM	618	26.03	23.99	26.93	-1.64	-5.93%	12	32	48.58%
SPY250818C00619000	8/15/2025 1:13 PM	619	25.15	22.84	25.84	-1.19	-4.52%	3	15	46.31%
SPY250818C00620000	8/15/2025 4:08 PM	620	22.99	21.84	24.84	-1.98	-7.93%	196	55	44.96%
SPY250818C00621000	8/15/2025 2:26 PM	621	23.43	20.92	23.92	-0.91	-3.74%	4	30	44.37%
SPY250818C00622000	8/15/2025 3:48 PM	622	22.10	20.17	22.94	-0.88	-3.83%	6	17	43.18%
SPY250818C00623000	8/15/2025 3:46 PM	623	21.02	19.56	21.56	-0.42	-1.96%	4	30	38.09%
SPY250818C00624000	8/15/2025 3:55 PM	624	19.34	18.49	20.49	-2.36	-10.88%	5	68	36.04%
SPY250818C00625000	8/15/2025 3:13 PM	625	19.01	16.99	18.99	-1.94	-9.26%	238	91	28.98%
SPY250818C00626000	8/15/2025 4:09 PM	626	17.07	16.98	18.96	-2.90	-14.52%	3	89	37.71%
SPY250818C00627000	8/15/2025 4:07 PM	627	16.08	16.23	16.37	-1.78	-9.97%	28	136	0.00%
SPY250818C00628000	8/15/2025 3:15 PM	628	16.04	15.23	15.38	-1.09	-6.36%	15	306	0.00%
SPY250818C00629000	8/15/2025 3:25 PM	629	15.00	14.24	14.38	-0.83	-5.24%	11	162	0.00%
SPY250818C00630000	8/15/2025 4:12 PM	630	13.10	13.25	13.43	-1.88	-12.55%	557	459	0.00%
SPY250818C00631000	8/15/2025 3:56 PM	631	12.47	12.27	12.44	-2.37	-15.97%	78	215	6.25%
SPY250818C00632000	8/15/2025 12:35 PM	632	12.14	11.29	11.45	0.17	1.42%	26	226	9.77%
SPY250818C00633000	8/15/2025 4:13 PM	633	10.31	10.31	10.48	-2.54	-19.77%	38	361	10.84%
SPY250818C00634000	8/15/2025 4:13 PM	634	9.34	9.32	9.48	-1.91	-16.98%	172	176	9.96%
