Contract Name	Last Trade Date (EDT)	Strike	Last Price	Bid	Ask	Change	% Change	Volume	Open Interest	Implied Volatility
SPY250818P00400000	8/15/2025 3:57 PM	400	0.01	0.00	0.01	0.00	0.00%	1	102	187.50%
SPY250818P00405000	8/7/2025 4:02 PM	405	0.01	0.00	0.01	0.00	0.00%	-	3	181.25%
SPY250818P00410000	8/7/2025 10:04 AM	410	0.01	0.00	0.01	0.00	0.00%	-	8	175.00%
SPY250818P00420000	8/5/2025 3:23 PM	420	0.03	0.00	0.01	0.00	0.00%	-	300	168.75%
SPY250818P00425000	8/8/2025 10:51 AM	425	0.01	0.00	0.01	0.00	0.00%	620	620	162.50%
SPY250818P00430000	8/15/2025 3:38 PM	430	0.01	0.00	0.01	-0.01	-50.00%	5	641	159.38%
SPY250818P00435000	8/8/2025 2:06 PM	435	0.01	0.00	0.01	0.00	0.00%	5	310	156.25%
SPY250818P00440000	8/11/2025 9:30 AM	440	0.01	0.00	0.01	0.00	0.00%	9	352	150.00%
SPY250818P00445000	8/7/2025 3:30 PM	445	0.02	0.00	0.01	0.00	0.00%	-	303	146.88%
SPY250818P00450000	8/7/2025 11:13 AM	450	0.02	0.00	0.01	0.00	0.00%	-	81	143.75%
SPY250818P00455000	8/11/2025 11:38 AM	455	0.01	0.00	0.01	0.00	0.00%	1	70	137.50%
SPY250818P00460000	8/11/2025 12:05 PM	460	0.02	0.00	0.01	0.00	0.00%	330	331	134.38%
SPY250818P00470000	8/7/2025 12:44 PM	470	0.03	0.00	0.01	0.00	0.00%	-	1	125.00%
SPY250818P00475000	8/8/2025 3:58 PM	475	0.02	0.00	0.01	0.00	0.00%	4	18	121.88%
SPY250818P00480000	8/11/2025 4:08 PM	480	0.01	0.00	0.01	0.00	0.00%	1	268	118.75%
SPY250818P00485000	8/8/2025 3:30 PM	485	0.02	0.00	0.01	0.00	0.00%	82	31	112.50%
SPY250818P00495000	8/12/2025 12:17 PM	495	0.01	0.00	0.01	0.00	0.00%	3	63	106.25%
SPY250818P00500000	8/12/2025 1:47 PM	500	0.02	0.00	0.01	0.00	0.00%	3	292	103.13%
SPY250818P00505000	8/11/2025 3:38 PM	505	0.02	0.00	0.01	0.00	0.00%	320	624	98.44%
SPY250818P00510000	8/13/2025 1:03 PM	510	0.01	0.00	0.01	0.00	0.00%	10	45	93.75%
SPY250818P00515000	8/13/2025 4:06 PM	515	0.01	0.00	0.01	0.00	0.00%	121	415	90.63%
SPY250818P00525000	8/13/2025 3:59 PM	525	0.01	0.00	0.01	0.00	0.00%	100	522	84.38%
SPY250818P00530000	8/15/2025 9:30 AM	530	0.01	0.00	0.01	0.00	0.00%	1	125	81.25%
SPY250818P00535000	8/15/2025 9:30 AM	535	0.01	0.00	0.01	0.00	0.00%	1	134	76.56%
SPY250818P00540000	8/14/2025 2:21 PM	540	0.01	0.00	0.01	0.00	0.00%	100	1,032	71.88%
SPY250818P00545000	8/14/2025 10:48 AM	545	0.01	0.00	0.01	-0.01	-50.00%	1	1,041	68.75%
SPY250818P00550000	8/15/2025 10:15 AM	550	0.01	0.00	0.01	-0.02	-66.67%	22	789	65.63%
SPY250818P00555000	8/15/2025 11:43 AM	555	0.01	0.00	0.01	-0.01	-50.00%	91	878	62.50%
SPY250818P00560000	8/15/2025 1:41 PM	560	0.01	0.00	0.01	-0.01	-50.00%	346	1,137	59.38%
SPY250818P00565000	8/15/2025 11:26 AM	565	0.02	0.00	0.01	-0.01	-33.33%	49	1,083	54.69%
SPY250818P00570000	8/15/2025 4:08 PM	570	0.01	0.01	0.02	-0.02	-66.67%	403	534	57.03%
SPY250818P00575000	8/15/2025 4:03 PM	575	0.01	0.01	0.02	-0.02	-66.67%	3,424	1,566	53.13%
SPY250818P00580000	8/15/2025 3:59 PM	580	0.02	0.01	0.02	-0.01	-33.33%	42	651	50.78%
SPY250818P00585000	8/15/2025 1:07 PM	585	0.02	0.01	0.02	-0.02	-50.00%	29	555	46.88%
SPY250818P00590000	8/15/2025 4:13 PM	590	0.02	0.01	0.02	-0.02	-50.00%	415	838	42.97%
SPY250818P00595000	8/15/2025 4:12 PM	595	0.02	0.01	0.02	-0.03	-60.00%	1,562	965	39.45%
SPY250818P00600000	8/15/2025 4:01 PM	600	0.03	0.02	0.03	-0.02	-40.00%	254	1,402	37.11%
